as_of_date,ticker,entry_price,predicted_price,predicted_return_pct,confidence,rf_confidence,gb_confidence,rf_r2,gb_r2,agreement_pct,actual_price,actual_return_pct,direction_correct
2026-01-02,PK,10.77,10.65,-1.11,3.8,4.1,3.4,0.0316749814878462,0.02361728962489562,0.8,11.475,6.55,False
2026-01-16,PK,11.425,11.25,-1.53,1.4,1.7,1.1,0.0,0.0,1.0,11.15,-2.41,True
2026-02-02,PK,10.92,10.82,-0.92,2.1,3.5,0.7,0.009331140171974228,0.0,1.5,11.5,5.31,False
2026-02-17,PK,11.475,11.29,-1.61,2.0,3.5,0.5,0.0,0.0,1.8,11.27,-1.79,True
2026-03-03,PK,11.16,11.08,-0.72,2.4,4.2,0.5,0.0066553375879429,0.0,1.3,10.7,-4.12,True
2026-03-17,PK,10.5,10.63,1.24,3.8,6.1,1.6,0.015456117095362099,0.0,1.5,10.41,-0.86,False
2026-03-31,PK,10.52,10.43,-0.86,5.0,6.4,3.6,0.028934776423674702,0.0,1.0,10.87,3.33,False
2026-04-15,PK,11.34,11.34,0.0,4.4,6.8,2.0,0.032343336102438336,0.0,0.5,11.14,-1.76,True
2026-04-29,PK,11.34,11.24,-0.88,4.3,5.0,3.7,0.035082862567466844,0.0,1.5,11.23,-0.97,True
2026-05-13,PK,10.81,10.82,0.09,3.8,6.1,1.5,0.031086526538564585,0.0,0.5,11.37,5.18,True
2026-05-28,PK,12.18,12.07,-0.9,1.4,2.7,0.0,0.0,0.0,1.0,14.04,15.27,False
2026-06-11,PK,14.35,14.21,-0.98,0.2,0.3,0.2,0.0,0.0,1.1,14.705,2.47,False
2026-06-26,PK,14.76,14.72,-0.27,0.0,0.0,0.0,0.0,0.0,0.3,14.305,-3.08,True
2024-09-09,PUBM,14.02,14.66,4.56,0.0,0.0,0.0,0.0,0.0,0.2,14.57,3.92,True
2024-09-23,PUBM,14.28,14.09,-1.33,0.0,0.0,0.0,0.0,0.0,1.2,14.85,3.99,False
2024-10-07,PUBM,14.47,14.45,-0.14,0.0,0.0,0.0,0.0,0.0,1.5,15.13,4.56,False
2024-10-21,PUBM,15.265,15.41,0.95,0.4,0.3,0.6,0.0,0.0,1.2,15.24,-0.16,False
2024-11-04,PUBM,14.37,14.55,1.25,0.0,0.0,0.0,0.0,0.0,2.3,16.38,13.99,True
2024-11-18,PUBM,14.69,15.43,5.04,0.0,0.0,0.0,0.0,0.0,5.1,15.85,7.9,True
2024-12-03,PUBM,16.7,17.34,3.83,0.2,0.5,0.0,0.0,0.0,0.1,16.7,0.0,False
2024-12-17,PUBM,16.26,16.3,0.25,0.0,0.0,0.0,0.0,0.0,1.7,15.38,-5.41,False
2025-01-02,PUBM,14.82,15.08,1.75,0.3,0.7,0.0,0.0,0.0,2.4,14.09,-4.93,False
2025-01-17,PUBM,14.52,15.27,5.17,0.2,0.5,0.0,0.0,0.0,5.7,15.23,4.89,True
2025-02-03,PUBM,15.085,15.46,2.49,0.9,1.1,0.7,0.0,0.0,3.8,16.59,9.98,True
2025-02-18,PUBM,15.655,15.79,0.86,0.4,0.6,0.2,0.0,0.0,0.4,14.44,-7.76,False
2025-03-04,PUBM,10.62,10.84,2.07,0.2,0.0,0.4,0.0,0.0,0.4,9.66,-9.04,False
