as_of_date,ticker,smartscore,setup,near_miss,has_signal,setup_strength,trend_context,volume_bonus,base_tightness_bonus,meaningful_level_bonus,fibonacci_bonus,entry_price,actual_price,actual_return_pct,direction_correct
2025-10-21,HYG,55.0,,True,True,0.0,10.0,0.0,0.0,10.0,-15.0,80.82,80.71,-0.14,False
2025-11-04,HYG,100.0,Pullback,False,True,40.0,10.0,-10.0,0.0,10.0,15.0,80.15,80.565,0.52,True
2025-11-18,HYG,,,False,False,,,,,,,80.12,80.67,0.69,True
2025-12-03,HYG,,,False,False,,,,,,,80.71,81.07,0.45,True
2025-12-17,HYG,85.0,,True,True,0.0,10.0,5.0,0.0,10.0,10.0,80.565,80.775,0.26,True
2026-01-02,HYG,65.0,,True,True,0.0,10.0,5.0,0.0,10.0,-10.0,80.67,80.81,0.17,True
2026-01-16,HYG,85.0,Breakout,False,True,31.418200716869862,10.0,5.0,12.0,0.0,-15.0,81.07,80.14,-1.15,False
2026-02-02,HYG,100.0,Pullback,False,True,35.143811075065685,10.0,15.0,0.0,10.0,15.0,80.775,79.82,-1.18,False
2026-02-17,HYG,96.0,Pullback,False,True,21.492873859903355,10.0,-10.0,0.0,10.0,15.0,80.81,79.58,-1.52,False
2026-03-03,HYG,,,False,False,,,,,,,80.14,80.45,0.39,True
2026-03-17,HYG,,,False,False,,,,,,,79.82,80.15,0.41,True
2026-03-31,HYG,,,False,False,,,,,,,79.58,79.895,0.4,True
2026-04-15,HYG,,,False,False,,,,,,,80.45,80.195,-0.32,False
2026-04-29,HYG,90.0,,True,True,0.0,10.0,5.0,0.0,10.0,15.0,80.15,79.93,-0.27,False
2026-05-13,HYG,,,False,False,,,,,,,79.895,79.85,-0.06,False
2024-12-03,KT,85,Breakout,False,True,40,10,15,0,0,-15,18.03,16.75,-7.1,False
2025-03-04,PATH,,,False,False,,,,,,,11.77,10.57,-10.2,False
2025-03-18,PATH,,,False,False,,,,,,,10.76,11.94,10.97,True
2025-04-01,PATH,,,False,False,,,,,,,10.5,13.21,25.81,True
2025-04-15,PATH,,,False,False,,,,,,,10.57,12.95,22.52,True
2025-04-30,PATH,,,False,False,,,,,,,11.94,12.66,6.03,True
2025-05-29,PATH,90.0,Breakout,False,True,26.57890526108114,10.0,15.0,0.0,0.0,-10.0,12.95,12.465,-3.75,False
2025-07-14,PATH,100.0,Pullback,False,True,24.928492383976543,10.0,15.0,0.0,8.0,15.0,12.465,11.025,-11.55,False
2025-07-28,PATH,100.0,Pullback,False,True,35.27839889824021,10.0,15.0,0.0,8.0,15.0,12.24,11.905,-2.74,False
2025-09-23,PATH,77.0,Breakout,False,True,27.296256215931827,10.0,5.0,0.0,0.0,-15.0,12.525,14.265,13.89,True
2025-10-07,PATH,85.0,Breakout,False,True,40.0,10.0,15.0,0.0,0.0,-15.0,14.83,13.75,-7.28,False
2025-10-21,PATH,83.0,Breakout,False,True,23.280391822766525,10.0,-10.0,0.0,0.0,10.0,16.285,14.88,-8.63,False
2025-11-04,PATH,100.0,Pullback,False,True,33.8831621027654,10.0,5.0,0.0,8.0,15.0,14.265,15.96,11.88,True
2025-11-18,PATH,100.0,Pullback,False,True,35.83690398232559,10.0,0.0,0.0,8.0,15.0,13.75,15.9,15.64,True
2025-12-03,PATH,83.0,Breakout,False,True,23.718229019401313,10.0,15.0,0.0,0.0,-15.0,14.88,14.33,-3.7,False
2025-12-17,PATH,70.0,,True,True,0.0,10.0,-10.0,0.0,10.0,10.0,15.96,12.55,-21.37,False
2026-01-02,PATH,100.0,Pullback,False,True,28.310125385098402,10.0,5.0,0.0,8.0,15.0,15.9,10.96,-31.07,False
2026-01-16,PATH,100.0,Pullback,False,True,40.0,10.0,5.0,0.0,0.0,15.0,14.33,11.05,-22.89,False
2026-02-02,PATH,,,False,False,,,,,,,12.55,11.98,-4.54,False
2026-02-17,PATH,,,False,False,,,,,,,10.96,11.12,1.46,True
2026-03-03,PATH,,,False,False,,,,,,,11.05,10.6,-4.07,False
2026-03-17,PATH,,,False,False,,,,,,,11.98,10.39,-13.27,False
2026-03-31,PATH,,,False,False,,,,,,,11.12,9.47,-14.84,False
2026-04-15,PATH,,,False,False,,,,,,,10.6,11.565,9.1,True
2026-04-29,PATH,,,False,False,,,,,,,10.39,10.66,2.6,True
2025-07-14,RCAT,85,Breakout,False,True,40.0,10,15,0,0,-15,10.33,10.05,-2.71,False
2025-09-23,RCAT,85,Breakout,False,True,32.45641852302046,10,15,0,0,-15,11.76,9.47,-19.47,False
2026-03-03,RCAT,85,Breakout,False,True,25.932777845141956,10,15,0,0,-15,14.69,13.05,-11.16,False
2024-09-09,TLT,85.0,Breakout,False,True,33.90662805208663,10.0,5.0,12.0,0.0,-15.0,99.98,92.24,-7.74,False
2024-09-23,TLT,100.0,Pullback,False,True,17.715131206515938,10.0,5.0,0.0,10.0,15.0,98.68,92.22,-6.55,False
2024-10-07,TLT,88.0,,True,True,0.0,10.0,5.0,0.0,8.0,15.0,94.86,90.23,-4.88,False
2024-10-21,TLT,,,False,False,,,,,,,92.24,93.045,0.87,True
2024-11-04,TLT,,,False,False,,,,,,,92.22,90.66,-1.69,False
2024-11-18,TLT,,,False,False,,,,,,,90.23,87.545,-2.98,False
2024-12-03,TLT,,,False,False,,,,,,,93.045,87.165,-6.32,False
2024-12-17,TLT,,,False,False,,,,,,,90.66,88.15,-2.77,False
2025-01-02,TLT,,,False,False,,,,,,,87.545,88.11,0.65,True
2025-01-17,TLT,,,False,False,,,,,,,87.165,91.44,4.9,True
2025-02-03,TLT,,,False,False,,,,,,,88.15,90.72,2.92,True
2025-02-18,TLT,,,False,False,,,,,,,88.11,91.465,3.81,True
2025-03-04,TLT,85.0,Breakout,False,True,24.945676796303353,10.0,5.0,12.0,0.0,-15.0,91.44,87.805,-3.98,False
2025-03-18,TLT,60.0,,True,True,0.0,10.0,-10.0,0.0,10.0,0.0,90.72,89.47,-1.38,False
2025-04-01,TLT,86.0,Breakout,False,True,24.703089355188148,10.0,0.0,12.0,0.0,-10.0,91.465,85.33,-6.71,False
2025-04-15,TLT,,,False,False,,,,,,,87.805,86.14,-1.9,False
2025-04-30,TLT,,,False,False,,,,,,,89.47,87.17,-2.57,False
2025-05-14,TLT,,,False,False,,,,,,,85.33,87.39,2.41,True
2025-05-29,TLT,,,False,False,,,,,,,86.14,85.61,-0.62,False
2025-06-12,TLT,,,False,False,,,,,,,87.17,85.88,-1.48,False
2025-06-27,TLT,,,False,False,,,,,,,87.39,87.39,0.0,False
2025-07-14,TLT,,,False,False,,,,,,,85.61,86.81,1.4,True
2025-07-28,TLT,,,False,False,,,,,,,85.88,89.225,3.89,True
